'G. Vuye et al.. Temperature dependence of the dielectric function of silicon using in situ spectroscopic ellipsometry, <a href=\"http://dx.doi.org/10.1016/0040-6090(93)90082-Z\"><i>Thin Solid Films</i> <b>233</b>, 166-170 (1993)</a>; COMMENTS: 20 Â°C; Crysal orientation: <111>'
    lambda(Am)    n      k
    2638 1.8250 4.1750
    2652 1.8540 4.2620
    2666 1.8990 4.3410
    2681 1.9540 4.4390
    2695 2.0140 4.5430
    2710 2.0990 4.6590
    2725 2.1880 4.7350
    2740 2.2930 4.8550
    2755 2.4260 4.9410
    2771 2.5740 5.0310
    2786 2.7230 5.1110
    2802 2.8770 5.1580
    2818 3.0370 5.2330
    2834 3.2320 5.2800
    2850 3.4060 5.3320
    2867 3.6680 5.3470
    2883 3.9260 5.3530
    2900 4.2050 5.2720
    2917 4.4540 5.1420
    2935 4.6590 4.9490
    2952 4.7910 4.7400
    2970 4.8850 4.5480
    2988 4.9280 4.3640
    3006 4.9850 4.2060
    3024 4.9860 4.0670
    3043 5.0090 3.9410
    3061 5.0250 3.8270
    3080 5.0240 3.7440
    3100 5.0290 3.6450
    3119 5.0340 3.5750
    3139 5.0390 3.4920
    3159 5.0350 3.4440
    3179 5.0320 3.3920
    3200 5.0510 3.3470
    3220 5.0680 3.2860
    3241 5.0660 3.2580
    3263 5.0910 3.2130
    3284 5.1200 3.1740
    3306 5.1350 3.1460
    3328 5.1590 3.1120
    3351 5.1770 3.0830
    3374 5.2180 3.0500
    3397 5.2470 3.0320
    3420 5.2770 3.0090
    3444 5.3100 3.0050
    3468 5.3630 3.0080
    3493 5.4290 3.0180
    3517 5.4870 3.0280
    3542 5.6010 3.0560
    3568 5.7520 3.0920
    3594 5.9670 3.1050
    3620 6.2510 3.0370
    3647 6.5630 2.8690
    3674 6.8210 2.5620
    3701 6.9890 2.1630
    3729 7.0040 1.7500
    3757 6.8990 1.4040
    3786 6.7350 1.0680
    3815 6.5480 0.8710
    3844 6.3690 0.6950
    3875 6.1910 0.5870
    3905 6.0410 0.4860
    3936 5.8970 0.4400
    3967 5.7640 0.3850
    3999 5.6490 0.3260
    4032 5.5430 0.2970
    4065 5.4500 0.2590
    4099 5.3560 0.2320
    4133 5.2790 0.2030
    4168 5.1970 0.1870
    4203 5.1260 0.1710
    4239 5.0560 0.1540
    4275 4.9940 0.1420
    4312 4.9330 0.1300
    4350 4.8720 0.1210
    4389 4.8250 0.1080
    4428 4.7700 0.1010
    4468 4.7220 0.0950
    4509 4.6770 0.0860
    4550 4.6310 0.0800
    4592 4.5910 0.0690
    4635 4.5490 0.0626
    4679 4.5100 0.0568
    4723 4.4710 0.0482
    4769 4.4350 0.0427
    4815 4.4020 0.0393
    4862 4.3680 0.0362
    4910 4.3370 0.0329
    4959 4.3090 0.0280
    5009 4.2810 0.0240
    5061 4.2520 0.0228
    5113 4.2240 0.0189
    5166 4.2000 0.0144
    5220 4.1770 0.0122
    5276 4.1530 0.0109
    5333 4.1310 0.0100
    5391 4.1090 0.0080
    5450 4.0890 0.0075
    5510 4.0680 0.0060
    5572 4.0490 0.0064
    5636 4.0290 0.0052
    5700 4.0120 0.0047
    5767 3.9950 0.0045
    5835 3.9770 0.0038
    5904 3.9600 0.0035
    5975 3.9441 0.0026
    6048 3.9291 0.0020
    6123 3.9144 0.0024
    6199 3.9000 0.0017
    6278 3.8860 0.0013
    6358 3.8723 0.0008
    6441 3.8589 0.0013
    6525 3.8450 0.0017
    6612 3.8330 0.0021
    6702 3.8205 0.0017
    6794 3.8084 0.0024
    6888 3.7960 0.0029
    6985 3.7851 0.0026
    7085 3.7739 0.0024
    7187 3.7631 0.0024
    7293 3.7530 0.0029
    7402 3.7423 0.0026
    7514 3.7324 0.0040
    7630 3.7228 0.0044
    7749 3.7160 0.0012
    7872 3.7046 0.0029
    7999 3.6960 0.0047
    8130 3.6877 0.0050
    8266 3.6780 0.0046
